date,institution,province,consumable,enrolment,occupancy_rate,is_exam_month,is_event_month,rainfall_mm,quantity_used
2022-02-01,EAV Tumba,Kigali,Bed Linen,377,60.6,0,0,70.6,248.44
2022-03-01,EAV Tumba,Kigali,Bed Linen,450,79.1,0,1,89.8,456.67
2022-04-01,EAV Tumba,Kigali,Bed Linen,402,65.1,0,0,135.7,401.58
2022-05-01,EAV Tumba,Kigali,Bed Linen,368,70.5,0,0,63.7,368.3
2022-06-01,EAV Tumba,Kigali,Bed Linen,427,87.3,1,0,48.0,582.53
2022-07-01,EAV Tumba,Kigali,Bed Linen,380,68.1,0,0,72.2,387.35
2022-08-01,EAV Tumba,Kigali,Bed Linen,401,65.4,0,0,98.1,383.44
2022-09-01,EAV Tumba,Kigali,Bed Linen,392,64.7,0,1,72.7,385.59
2022-10-01,EAV Tumba,Kigali,Bed Linen,415,64.2,0,0,93.0,304.97
2022-11-01,EAV Tumba,Kigali,Bed Linen,349,76.3,1,0,70.1,292.31
2022-12-01,EAV Tumba,Kigali,Bed Linen,377,57.6,0,0,41.2,222.25
2023-01-01,EAV Tumba,Kigali,Bed Linen,407,64.8,0,0,109.2,215.8
2023-02-01,EAV Tumba,Kigali,Bed Linen,398,62.3,0,0,70.4,281.36
2023-03-01,EAV Tumba,Kigali,Bed Linen,374,68.9,0,1,120.2,345.23
2023-04-01,EAV Tumba,Kigali,Bed Linen,425,63.0,0,0,105.9,436.84
2023-05-01,EAV Tumba,Kigali,Bed Linen,325,65.6,0,0,107.3,380.19
2023-06-01,EAV Tumba,Kigali,Bed Linen,411,67.2,1,0,92.6,503.13
2023-07-01,EAV Tumba,Kigali,Bed Linen,435,74.0,0,0,100.1,436.96
2023-08-01,EAV Tumba,Kigali,Bed Linen,385,68.5,0,0,101.8,369.69
2023-09-01,EAV Tumba,Kigali,Bed Linen,408,88.6,0,1,116.1,393.03
2023-10-01,EAV Tumba,Kigali,Bed Linen,436,68.7,0,0,28.9,275.15
2023-11-01,EAV Tumba,Kigali,Bed Linen,343,69.2,1,0,90.6,306.71
2023-12-01,EAV Tumba,Kigali,Bed Linen,409,70.2,0,0,114.9,198.12
2018-01-01,EAV Tumba,Kigali,F&B Stock,407,78.2,0,0,45.6,1019.3
2018-02-01,EAV Tumba,Kigali,F&B Stock,410,68.7,0,0,109.0,1227.97
2018-03-01,EAV Tumba,Kigali,F&B Stock,405,74.0,0,1,76.2,1271.11
2018-04-01,EAV Tumba,Kigali,F&B Stock,424,65.2,0,0,92.1,1355.17
2018-05-01,EAV Tumba,Kigali,F&B Stock,414,74.7,0,0,121.1,1517.01
2018-06-01,EAV Tumba,Kigali,F&B Stock,391,64.2,1,0,76.7,1812.74
2018-07-01,EAV Tumba,Kigali,F&B Stock,422,64.6,0,0,116.1,1703.38
2018-08-01,EAV Tumba,Kigali,F&B Stock,412,87.0,0,0,66.8,1355.17
2018-09-01,EAV Tumba,Kigali,F&B Stock,346,84.0,0,1,109.6,1315.58
2018-10-01,EAV Tumba,Kigali,F&B Stock,408,63.0,0,0,163.4,1025.41
2018-11-01,EAV Tumba,Kigali,F&B Stock,403,77.8,1,0,104.4,1086.78
2018-12-01,EAV Tumba,Kigali,F&B Stock,376,75.8,0,0,146.5,936.62
2019-01-01,EAV Tumba,Kigali,F&B Stock,447,67.9,0,0,60.3,929.49
2019-02-01,EAV Tumba,Kigali,F&B Stock,401,80.8,0,0,39.2,1206.83
2019-03-01,EAV Tumba,Kigali,F&B Stock,395,68.6,0,1,59.6,1147.14
2019-04-01,EAV Tumba,Kigali,F&B Stock,424,72.6,0,0,51.3,1298.27
2019-05-01,EAV Tumba,Kigali,F&B Stock,389,85.4,0,0,82.2,1406.01
2019-06-01,EAV Tumba,Kigali,F&B Stock,392,69.8,1,0,10.0,1791.13
2019-07-01,EAV Tumba,Kigali,F&B Stock,393,77.6,0,0,145.5,1702.24
2019-08-01,EAV Tumba,Kigali,F&B Stock,391,63.1,0,0,167.2,1354.31
2019-09-01,EAV Tumba,Kigali,F&B Stock,400,71.8,0,1,95.9,1329.87
2019-10-01,EAV Tumba,Kigali,F&B Stock,382,67.6,0,0,89.0,959.49
2019-11-01,EAV Tumba,Kigali,F&B Stock,378,72.9,1,0,82.4,1142.49
2019-12-01,EAV Tumba,Kigali,F&B Stock,320,80.7,0,0,127.4,671.98
2020-01-01,EAV Tumba,Kigali,F&B Stock,389,69.0,0,0,47.8,829.98
2020-02-01,EAV Tumba,Kigali,F&B Stock,366,86.0,0,0,118.1,1159.7
2020-03-01,EAV Tumba,Kigali,F&B Stock,421,63.0,0,1,74.3,1384.38
2020-04-01,EAV Tumba,Kigali,F&B Stock,363,77.7,0,0,82.8,1336.7
2020-05-01,EAV Tumba,Kigali,F&B Stock,421,75.6,0,0,79.2,1747.16
2020-06-01,EAV Tumba,Kigali,F&B Stock,367,76.9,1,0,107.8,1750.1
2020-07-01,EAV Tumba,Kigali,F&B Stock,409,62.0,0,0,117.7,1477.98
2020-08-01,EAV Tumba,Kigali,F&B Stock,384,80.4,0,0,68.9,1264.68
2020-09-01,EAV Tumba,Kigali,F&B Stock,353,76.8,0,1,51.6,1480.91
2020-10-01,EAV Tumba,Kigali,F&B Stock,337,85.6,0,0,96.3,1008.09
2020-11-01,EAV Tumba,Kigali,F&B Stock,383,75.2,1,0,88.9,1125.53
2020-12-01,EAV Tumba,Kigali,F&B Stock,403,73.2,0,0,79.1,859.52
2021-01-01,EAV Tumba,Kigali,F&B Stock,409,58.3,0,0,49.6,920.64
2021-02-01,EAV Tumba,Kigali,F&B Stock,405,70.5,0,0,90.6,1069.34
2021-03-01,EAV Tumba,Kigali,F&B Stock,383,65.8,0,1,95.9,1189.82
2021-04-01,EAV Tumba,Kigali,F&B Stock,412,58.4,0,0,120.9,1406.28
2021-05-01,EAV Tumba,Kigali,F&B Stock,407,79.9,0,0,140.0,1728.9
2021-06-01,EAV Tumba,Kigali,F&B Stock,344,61.8,1,0,71.3,1655.12
2021-07-01,EAV Tumba,Kigali,F&B Stock,415,66.2,0,0,95.6,1441.56
2021-08-01,EAV Tumba,Kigali,F&B Stock,381,60.7,0,0,62.3,1177.83
2021-09-01,EAV Tumba,Kigali,F&B Stock,370,80.4,0,1,61.5,1624.27
2021-10-01,EAV Tumba,Kigali,F&B Stock,414,73.5,0,0,64.2,1121.93
2021-11-01,EAV Tumba,Kigali,F&B Stock,382,73.0,1,0,166.8,1016.94
2021-12-01,EAV Tumba,Kigali,F&B Stock,434,66.4,0,0,89.0,994.23
2022-01-01,EAV Tumba,Kigali,F&B Stock,381,86.5,0,0,111.2,892.11
2022-02-01,EAV Tumba,Kigali,F&B Stock,418,79.8,0,0,108.7,954.51
2022-03-01,EAV Tumba,Kigali,F&B Stock,378,70.0,0,1,87.8,1368.57
2022-04-01,EAV Tumba,Kigali,F&B Stock,405,61.3,0,0,101.4,1426.16
2022-05-01,EAV Tumba,Kigali,F&B Stock,416,80.6,0,0,115.0,1678.51
2022-06-01,EAV Tumba,Kigali,F&B Stock,397,58.7,1,0,102.9,1763.42
2022-07-01,EAV Tumba,Kigali,F&B Stock,408,61.8,0,0,57.6,1623.53
2022-08-01,EAV Tumba,Kigali,F&B Stock,398,77.5,0,0,90.8,1436.28
2022-09-01,EAV Tumba,Kigali,F&B Stock,428,67.9,0,1,92.9,1316.79
2022-10-01,EAV Tumba,Kigali,F&B Stock,386,69.5,0,0,96.7,975.94
2022-11-01,EAV Tumba,Kigali,F&B Stock,437,64.8,1,0,84.4,1018.87
2022-12-01,EAV Tumba,Kigali,F&B Stock,443,73.6,0,0,121.0,795.7
2023-01-01,EAV Tumba,Kigali,F&B Stock,408,79.1,0,0,92.5,1017.85
2023-02-01,EAV Tumba,Kigali,F&B Stock,384,83.3,0,0,159.0,1033.46
2023-03-01,EAV Tumba,Kigali,F&B Stock,386,83.6,0,1,137.4,1324.18
2023-04-01,EAV Tumba,Kigali,F&B Stock,387,69.7,0,0,49.7,1274.45
2023-05-01,EAV Tumba,Kigali,F&B Stock,369,65.9,0,0,89.0,1482.77
2023-06-01,EAV Tumba,Kigali,F&B Stock,446,64.0,1,0,119.5,1834.88
2023-07-01,EAV Tumba,Kigali,F&B Stock,398,77.4,0,0,56.3,1617.13
2023-08-01,EAV Tumba,Kigali,F&B Stock,404,75.9,0,0,98.7,1715.83
2023-09-01,EAV Tumba,Kigali,F&B Stock,380,67.8,0,1,71.3,1238.55
2023-10-01,EAV Tumba,Kigali,F&B Stock,380,81.5,0,0,132.6,1004.74
2023-11-01,EAV Tumba,Kigali,F&B Stock,375,75.8,1,0,73.4,1079.11
2023-12-01,EAV Tumba,Kigali,F&B Stock,406,59.9,0,0,136.4,942.55
2018-01-01,EAV Tumba,Kigali,Cleaning Supplies,381,68.9,0,0,98.6,432.11
2018-02-01,EAV Tumba,Kigali,Cleaning Supplies,419,88.1,0,0,84.7,505.62
2018-03-01,EAV Tumba,Kigali,Cleaning Supplies,358,66.2,0,1,89.0,689.54
2018-04-01,EAV Tumba,Kigali,Cleaning Supplies,384,73.8,0,0,89.5,731.54
2018-05-01,EAV Tumba,Kigali,Cleaning Supplies,475,67.8,0,0,75.3,855.41
2018-06-01,EAV Tumba,Kigali,Cleaning Supplies,420,86.8,1,0,107.5,919.5
2018-07-01,EAV Tumba,Kigali,Cleaning Supplies,417,80.9,0,0,114.6,810.42
2018-08-01,EAV Tumba,Kigali,Cleaning Supplies,432,81.4,0,0,131.5,761.42
2018-09-01,EAV Tumba,Kigali,Cleaning Supplies,394,73.2,0,1,126.2,602.66
2018-10-01,EAV Tumba,Kigali,Cleaning Supplies,411,68.9,0,0,90.9,550.85
2018-11-01,EAV Tumba,Kigali,Cleaning Supplies,405,72.4,1,0,49.2,533.69
2018-12-01,EAV Tumba,Kigali,Cleaning Supplies,419,89.3,0,0,80.8,454.49
2019-01-01,EAV Tumba,Kigali,Cleaning Supplies,407,84.6,0,0,87.1,468.8
2019-02-01,EAV Tumba,Kigali,Cleaning Supplies,418,73.5,0,0,76.6,520.14
2019-03-01,EAV Tumba,Kigali,Cleaning Supplies,432,63.8,0,1,94.0,612.72
2019-04-01,EAV Tumba,Kigali,Cleaning Supplies,435,59.8,0,0,73.2,690.67
2019-05-01,EAV Tumba,Kigali,Cleaning Supplies,446,71.5,0,0,73.3,893.43
2019-06-01,EAV Tumba,Kigali,Cleaning Supplies,356,54.4,1,0,103.2,749.96
2019-07-01,EAV Tumba,Kigali,Cleaning Supplies,369,77.7,0,0,97.3,696.72
2019-08-01,EAV Tumba,Kigali,Cleaning Supplies,361,79.0,0,0,109.5,657.74
2019-09-01,EAV Tumba,Kigali,Cleaning Supplies,455,63.4,0,1,44.2,627.33
2019-10-01,EAV Tumba,Kigali,Cleaning Supplies,398,73.9,0,0,82.8,515.89
2019-11-01,EAV Tumba,Kigali,Cleaning Supplies,362,83.6,1,0,87.5,544.06
2019-12-01,EAV Tumba,Kigali,Cleaning Supplies,410,75.7,0,0,107.1,436.59
2020-01-01,EAV Tumba,Kigali,Cleaning Supplies,419,82.6,0,0,95.9,487.53
2020-02-01,EAV Tumba,Kigali,Cleaning Supplies,397,83.5,0,0,69.7,593.51
2020-03-01,EAV Tumba,Kigali,Cleaning Supplies,398,60.6,0,1,93.8,584.15
2020-04-01,EAV Tumba,Kigali,Cleaning Supplies,425,66.8,0,0,76.6,578.18
2020-05-01,EAV Tumba,Kigali,Cleaning Supplies,386,52.6,0,0,42.5,717.84
2020-06-01,EAV Tumba,Kigali,Cleaning Supplies,423,75.4,1,0,61.0,908.57
2020-07-01,EAV Tumba,Kigali,Cleaning Supplies,399,62.7,0,0,135.1,764.18
2020-08-01,EAV Tumba,Kigali,Cleaning Supplies,393,72.2,0,0,96.3,561.3
2020-09-01,EAV Tumba,Kigali,Cleaning Supplies,392,66.5,0,1,60.0,613.46
2020-10-01,EAV Tumba,Kigali,Cleaning Supplies,453,77.1,0,0,72.9,563.39
2020-11-01,EAV Tumba,Kigali,Cleaning Supplies,441,79.4,1,0,91.8,509.32
2020-12-01,EAV Tumba,Kigali,Cleaning Supplies,420,75.1,0,0,116.9,446.8
2021-01-01,EAV Tumba,Kigali,Cleaning Supplies,431,67.7,0,0,129.5,449.74
2021-02-01,EAV Tumba,Kigali,Cleaning Supplies,462,66.5,0,0,142.1,531.28
2021-03-01,EAV Tumba,Kigali,Cleaning Supplies,380,68.1,0,1,80.4,643.99
2021-04-01,EAV Tumba,Kigali,Cleaning Supplies,415,67.4,0,0,89.3,791.02
2021-05-01,EAV Tumba,Kigali,Cleaning Supplies,451,75.5,0,0,91.1,799.78
2021-06-01,EAV Tumba,Kigali,Cleaning Supplies,418,63.8,1,0,82.3,752.91
2021-07-01,EAV Tumba,Kigali,Cleaning Supplies,411,77.2,0,0,75.5,859.67
2021-08-01,EAV Tumba,Kigali,Cleaning Supplies,363,60.3,0,0,96.7,671.94
2021-09-01,EAV Tumba,Kigali,Cleaning Supplies,450,68.3,0,1,122.4,670.82
2021-10-01,EAV Tumba,Kigali,Cleaning Supplies,394,79.1,0,0,109.6,444.82
2021-11-01,EAV Tumba,Kigali,Cleaning Supplies,444,83.0,1,0,71.2,563.05
2021-12-01,EAV Tumba,Kigali,Cleaning Supplies,414,74.1,0,0,73.5,398.27
2022-01-01,EAV Tumba,Kigali,Cleaning Supplies,399,81.4,0,0,106.3,436.08
2022-02-01,EAV Tumba,Kigali,Cleaning Supplies,423,49.2,0,0,124.5,403.92
2022-03-01,EAV Tumba,Kigali,Cleaning Supplies,389,63.0,0,1,51.2,674.57
2022-04-01,EAV Tumba,Kigali,Cleaning Supplies,385,74.8,0,0,88.6,696.84
2022-05-01,EAV Tumba,Kigali,Cleaning Supplies,402,61.7,0,0,119.9,685.52
2022-06-01,EAV Tumba,Kigali,Cleaning Supplies,353,68.6,1,0,135.0,877.98
2022-07-01,EAV Tumba,Kigali,Cleaning Supplies,389,69.2,0,0,80.4,843.81
2022-08-01,EAV Tumba,Kigali,Cleaning Supplies,411,75.4,0,0,120.9,705.68
2022-09-01,EAV Tumba,Kigali,Cleaning Supplies,392,70.4,0,1,87.9,634.86
2022-10-01,EAV Tumba,Kigali,Cleaning Supplies,421,72.4,0,0,112.0,508.49
2022-11-01,EAV Tumba,Kigali,Cleaning Supplies,402,56.0,1,0,117.5,484.81
2022-12-01,EAV Tumba,Kigali,Cleaning Supplies,429,48.8,0,0,152.7,383.97
2023-01-01,EAV Tumba,Kigali,Cleaning Supplies,433,63.7,0,0,108.4,400.23
2023-02-01,EAV Tumba,Kigali,Cleaning Supplies,381,87.3,0,0,84.3,525.33
2023-03-01,EAV Tumba,Kigali,Cleaning Supplies,426,76.0,0,1,94.5,694.42
2023-04-01,EAV Tumba,Kigali,Cleaning Supplies,472,71.5,0,0,96.0,789.58
2023-05-01,EAV Tumba,Kigali,Cleaning Supplies,433,81.5,0,0,109.2,721.49
2023-06-01,EAV Tumba,Kigali,Cleaning Supplies,449,62.8,1,0,99.1,840.84
2023-07-01,EAV Tumba,Kigali,Cleaning Supplies,398,74.6,0,0,99.6,770.74
2023-08-01,EAV Tumba,Kigali,Cleaning Supplies,448,75.6,0,0,82.7,776.72
2023-09-01,EAV Tumba,Kigali,Cleaning Supplies,435,62.2,0,1,107.9,683.52
2023-10-01,EAV Tumba,Kigali,Cleaning Supplies,391,83.0,0,0,85.5,519.56
2023-11-01,EAV Tumba,Kigali,Cleaning Supplies,394,72.1,1,0,57.1,439.71
2023-12-01,EAV Tumba,Kigali,Cleaning Supplies,447,65.2,0,0,60.3,349.24
2018-01-01,EAV Tumba,Kigali,Toiletries,380,61.4,0,0,139.3,331.24
2018-02-01,EAV Tumba,Kigali,Toiletries,379,90.0,0,0,119.5,379.88
2018-03-01,EAV Tumba,Kigali,Toiletries,325,90.3,0,1,48.3,411.78
2018-04-01,EAV Tumba,Kigali,Toiletries,430,91.5,0,0,131.5,586.48
2018-05-01,EAV Tumba,Kigali,Toiletries,417,78.8,0,0,112.8,592.79
2018-06-01,EAV Tumba,Kigali,Toiletries,403,71.5,1,0,67.4,644.92
2018-07-01,EAV Tumba,Kigali,Toiletries,349,71.2,0,0,60.3,476.03
2018-08-01,EAV Tumba,Kigali,Toiletries,405,83.1,0,0,117.5,463.71
2018-09-01,EAV Tumba,Kigali,Toiletries,370,79.5,0,1,60.5,472.81
2018-10-01,EAV Tumba,Kigali,Toiletries,416,64.3,0,0,93.2,330.88
2018-11-01,EAV Tumba,Kigali,Toiletries,381,74.6,1,0,42.2,383.74
